fname,lname,age,exercise,hours,grade,address,hours_normalizada,gender_male
Clarke,Mills,17,2,9,83.1,"20 SE. Highland St. , Camas, WA 98607",0.45,1
Kameko,Flynn,17,3,15,86.6,"911 Tanglewood St. , Halethorpe, MD 21227",0.75,0
Kamal,Pacheco,16,1,14,84.1,"Lindenhurst, NY 11757, 55 Military Lane ",0.7000000000000001,1
Kuame,Conrad,18,3,14,92.6,"621 W. Thorne Dr. , Hendersonville, NC 28792",0.7000000000000001,1
Erasmus,Maynard,17,4,15,87.3,"277 West Miles Ave. , Winchester, VA 22601",0.75,1
Mufutau,Clayton,17,1,16,86.0,"Canonsburg, PA 15317, 92 10th St. ",0.8,1
Daria,Taylor,19,3,14,87.1,"Mason City, IA 50401, 894 County Street ",0.7000000000000001,0
Hamilton,Mclean,16,3,14,82.0,"8594 Sycamore Drive , Berwyn, IL 60402",0.7000000000000001,1
Belle,Walter,19,4,14,85.7,"Fargo, ND 58102, 1 Santa Clara St. ",0.7000000000000001,0
Honorato,Finley,17,5,9,77.6,"95 Beacon St. , Eden Prairie, MN 55347",0.45,1
Josephine,Jennings,15,2,12,89.0,"548 Van Dyke Avenue , Coraopolis, PA 15108",0.6000000000000001,0
Quentin,Bryan,19,4,7,77.7,"Tualatin, OR 97062, 7892 Border Drive ",0.35000000000000003,1
Lars,Hines,18,1,5,71.0,"Bowling Green, KY 42101, 24 Military Dr. ",0.25,1
Wade,Holden,15,3,12,92.6,"457 Glen Creek Dr. , Cranberry Twp, PA 16066",0.6000000000000001,1
Faith,Cotton,17,4,15,99.8,"42 Cherry St. , Loveland, OH 45140",0.75,0
Bruno,Humphrey,16,3,12,76.8,"729 St Louis Street , Freeport, NY 11520",0.6000000000000001,1
Lacey,Nieves,18,1,2,57.9,"175 Rockaway St. , South Richmond Hill, NY 11419",0.1,0
Odette,Herrera,16,5,6,82.8,"12 Blackburn Ave. , Dallas, GA 30132",0.30000000000000004,0
Davis,Reese,19,3,15,87.7,"545 Thatcher Court , Wakefield, MA 01880",0.75,1
Wang,Dorsey,18,3,10,76.3,"76 Old Bear Hill Road , Liverpool, NY 13090",0.5,1
Todd,Madden,19,4,13,89.8,"Lewis Center, OH 43035, 7509 Cross Ave. ",0.65,1
Oren,Porter,16,4,14,80.8,"8645 Cedar Street , Hazleton, PA 18201",0.7000000000000001,1
Sharon,Hull,14,5,8,79.0,"Logansport, IN 46947, 19 Jefferson Court ",0.4,0
Kareem,Hudson,18,4,16,98.6,"4 Glenlake Lane , Severn, MD 21144",0.8,1
Unity,Preston,19,1,14,86.8,"Port Huron, MI 48060, 790 Amherst St. ",0.7000000000000001,0
Ella,Cantrell,18,4,15,96.5,"Fernandina Beach, FL 32034, 76 Leatherwood Dr. ",0.75,0
Hanna,Burton,15,1,14,81.5,"Olympia, WA 98512, 71 Galvin Street ",0.7000000000000001,0
Cody,Giles,15,5,9,79.2,"7067 Union Drive , Grand Blanc, MI 48439",0.45,1
Latifah,Williamson,17,3,6,66.7,"8617 Pacific St. , Rockledge, FL 32955",0.30000000000000004,0
Aileen,Huff,16,4,13,96.5,"Emporia, KS 66801, 214 Pleasant Court ",0.65,0
Brittany,Odom,17,5,13,91.5,"Schererville, IN 46375, 8713 George Court ",0.65,0
Marny,Daniels,17,2,4,69.0,"Dedham, MA 02026, 9558 Sage Lane ",0.2,0
Dieter,Tyson,18,2,8,67.9,"356 Middle River Ave. , Port Richey, FL 34668",0.4,1
Raja,Burt,17,3,8,82.6,"62 East Queen Road , Stow, OH 44224",0.4,1
Irma,Bradley,14,3,6,66.2,"307 Devonshire Court , Carrollton, GA 30117",0.30000000000000004,0
Gray,Reilly,16,1,12,87.5,"Tualatin, OR 97062, 46 Second Ave. ",0.6000000000000001,1
Pamela,Holder,16,4,4,61.8,"303 Hartford Road , Suitland, MD 20746",0.2,0
Conan,Stout,19,5,6,70.0,"Alliance, OH 44601, 7940 S. Alton Dr. ",0.30000000000000004,1
Stella,Phillips,18,1,8,66.1,"9824 W. Dogwood St. , Menomonee Falls, WI 53051",0.4,0
Xenos,Snow,14,2,12,91.4,"623 Fairview St. , Baldwin, NY 11510",0.6000000000000001,1
Justin,Pierce,18,4,15,92.0,"431 Sherman St. , Flemington, NJ 08822",0.75,1
Kareem,Munoz,15,1,9,81.4,"New Baltimore, MI 48047, 6 Surrey St. ",0.45,1
Ali,Underwood,18,1,13,89.5,"Natchez, MS 39120, 9971 Lake Street ",0.65,1
Bethany,Duke,19,5,9,79.4,"Burbank, IL 60459, 33 School Ave. ",0.45,0
Amaya,Green,17,1,19,99.2,"8117 Saxon Lane , Lawrence, MA 01841",0.9500000000000001,0
Wyatt,Marsh,17,1,6,74.7,"25 N. Brook St. , Glenview, IL 60025",0.30000000000000004,1
Carol,Sparks,17,2,17,91.1,"73 Mountainview St. , Neenah, WI 54956",0.8500000000000001,0
Kiona,Collier,14,4,11,84.0,"2 Carriage Street , Bowie, MD 20715",0.55,0
Jocelyn,Ashley,14,3,9,73.4,"90 Brown St. , West Bloomfield, MI 48322",0.45,0
Shellie,Murray,18,1,13,85.3,"7303 Durham Lane , Sioux Falls, SD 57103",0.65,0
Talon,Rush,17,3,16,98.1,"131 Bear Hill Street , Lumberton, NC 28358",0.8,1
Alana,Berry,17,3,11,87.5,"955 Evergreen St. , Holyoke, MA 01040",0.55,0
Steel,Tanner,14,5,12,80.7,"Rockville, MD 20850, 872 Sunnyslope Rd. ",0.6000000000000001,1
Elvis,Clayton,17,3,8,81.1,"777 Prairie Ave. , Dracut, MA 01826",0.4,1
Silas,Paul,19,1,15,94.2,"7 Beechwood Dr. , Thomasville, NC 27360",0.75,1
Yasir,Fowler,18,1,5,73.5,"9550 E. Baker St. , Vincentown, NJ 08088",0.25,1
Breanna,Gillespie,19,1,12,82.5,"North Olmsted, OH 44070, 414 Harrison Dr. ",0.6000000000000001,0
Nasim,Fernandez,16,2,14,83.8,"795 Eagle St. , Westwood, NJ 07675",0.7000000000000001,1
Kaitlin,Mccarthy,17,1,14,95.4,"Noblesville, IN 46060, 9439 Galvin St. ",0.7000000000000001,0
Cassidy,Hogan,18,3,5,76.9,"Annapolis, MD 21401, 735 Rockwell St. ",0.25,0
Ebony,David,17,3,12,90.5,"Meriden, CT 06450, 9292 1st Dr. ",0.6000000000000001,0
Leila,Riggs,15,3,9,71.4,"Londonderry, NH 03053, 8444 Greenview Ave. ",0.45,0
Troy,Raymond,18,5,11,80.3,"515 Brook St. , Ithaca, NY 14850",0.55,1
Buckminster,Craig,19,5,14,95.2,"6 Sunset St. , Chapel Hill, NC 27516",0.7000000000000001,1
Kessie,Gonzalez,19,3,13,86.4,"17 South Spruce Dr. , Westwood, NJ 07675",0.65,0
Ariel,Cortez,18,5,3,74.7,"Mocksville, NC 27028, 23 Big Rock Cove St. ",0.15000000000000002,0
Cailin,Crosby,19,3,12,75.5,"Hattiesburg, MS 39401, 189 West Gonzales St. ",0.6000000000000001,0
Calvin,Maldonado,18,5,9,82.7,"45 E. Rockwell Drive , Oakland Gardens, NY 11364",0.45,1
Connor,Huber,19,4,8,84.9,"Erie, PA 16506, 7656 Pennsylvania Dr. ",0.4,1
Libby,Odonnell,17,1,6,65.1,"Mount Airy, MD 21771, 725 Piper Ave. ",0.30000000000000004,0
Kiara,Singleton,16,4,19,100.0,"Saginaw, MI 48601, 215 North Front Dr. ",0.9500000000000001,0
Dante,Odom,18,3,10,79.9,"Newtown, PA 18940, 679 Leatherwood Street ",0.5,1
Dalton,Washington,17,5,14,90.4,"8556 Pennsylvania Dr. , Ypsilanti, MI 48197",0.7000000000000001,1
Bruce,Cobb,18,5,15,95.8,"8 Baker Street , Plainfield, NJ 07060",0.75,1
Cara,Hudson,15,1,8,66.1,"4 W. Linden Ave. , Champaign, IL 61821",0.4,0
Carla,Larsen,18,1,16,95.2,"227 Sheffield Ave. , Sebastian, FL 32958",0.8,0
Ali,Franks,18,5,20,100.0,"8 Peg Shop St. , Stroudsburg, PA 18360",1.0,1
Cadman,Whitaker,18,5,4,67.8,"Fullerton, CA 92831, 795 Essex Ave. ",0.2,1
Holmes,Carson,15,5,15,92.2,"Nanuet, NY 10954, 882 Maple Ave. ",0.75,1
Lee,Alford,16,1,15,83.7,"524 Bohemia Ave. , Pomona, CA 91768",0.75,1
Virginia,Rodgers,18,2,5,75.0,"128 Pineknoll Avenue , Mountain View, CA 94043",0.25,0
Gwendolyn,Vazquez,19,5,19,100.0,"Maplewood, NJ 07040, 77 South Oxford Lane ",0.9500000000000001,0
Althea,Ratliff,19,2,10,79.4,"75 Dogwood Lane , Eugene, OR 97402",0.5,0
Micah,Gilbert,19,5,11,76.1,"29 NE. Cactus Dr. , Menasha, WI 54952",0.55,1
Jordan,Spears,17,5,13,89.4,"17 Oakland Dr. , Akron, OH 44312",0.65,1
Walker,Terrell,18,2,9,85.4,"510 Brook Lane , Indianapolis, IN 46201",0.45,1
Lunea,Grant,16,1,15,88.7,"377 Parker St. , Apex, NC 27502",0.75,0
Odessa,Puckett,14,5,13,84.3,"447 Evergreen Ave. , Colonial Heights, VA 23834",0.65,0
Risa,Chang,14,5,17,98.6,"Yorktown, VA 23693, 999 Foxrun Dr. ",0.8500000000000001,0
Juliet,Collier,18,2,14,94.6,"2 N. Joy Ridge Ave. , Upper Darby, PA 19082",0.7000000000000001,0
Flavia,Jones,18,4,4,66.6,"8915 East Marshall Avenue , Somerset, NJ 08873",0.2,0
Noble,Zamora,17,1,14,91.7,"756 Peninsula Ave. , Oak Creek, WI 53154",0.7000000000000001,1
Catherine,Lynch,15,2,10,81.9,"9566 Clinton St. , Mchenry, IL 60050",0.5,0
Carissa,Fuller,18,3,7,76.8,"Campbell, CA 95008, 7310 La Sierra St. ",0.35000000000000003,0
Aiko,Mullins,15,3,15,95.5,"Lemont, IL 60439, 866 Devonshire Street ",0.75,0
Nora,Gonzales,17,2,10,85.5,"580 Ashley Ave. , Emporia, KS 66801",0.5,0
Armando,Holman,17,5,7,76.5,"524 Squaw Creek St. , Elkton, MD 21921",0.35000000000000003,1
Kendall,Shepherd,16,2,14,81.2,"Greenwood, SC 29646, 827 East Rockwell Drive ",0.7000000000000001,0
Virginia,Murphy,17,4,12,81.6,"9322 Lower River Court , San Jose, CA 95127",0.6000000000000001,0
Hashim,Knox,19,1,5,66.8,"Addison, IL 60101, 682 Woodsman Ave. ",0.25,1
Hedley,Benton,18,3,12,78.2,"72 Hill Dr. , Clarksville, TN 37040",0.6000000000000001,1
Quamar,Sherman,17,4,9,80.2,"Canal Winchester, OH 43110, 3 Parker Rd. ",0.45,1
Tatum,Buchanan,18,2,7,71.9,"420 Nut Swamp Road , Endicott, NY 13760",0.35000000000000003,0
Abraham,Mccormick,18,2,10,73.7,"North Wales, PA 19454, 7527 Santa Clara Dr. ",0.5,1
Drake,Winters,17,4,19,100.0,"41 Glen Eagles Road , Winchester, VA 22601",0.9500000000000001,1
Stella,Taylor,19,3,3,65.5,"965 Pheasant Ave. , Williamstown, NJ 08094",0.15000000000000002,0
Lawrence,Willis,16,1,11,75.2,"8172 College St. , Antioch, TN 37013",0.55,1
Rylee,Mcpherson,19,5,10,76.8,"Glendale, AZ 85302, 461 Fieldstone St. ",0.5,0
Tate,Crosby,19,3,3,68.6,"Waltham, MA 02453, 216 Oak Valley Ave. ",0.15000000000000002,1
Gavin,Tran,18,2,10,70.4,"730 W. Summer Street , Goodlettsville, TN 37072",0.5,1
Blossom,House,19,4,8,81.1,"Bergenfield, NJ 07621, 9634 Edgemont Court ",0.4,0
Carolyn,Wolfe,14,5,9,85.2,"7518 Washington Dr. , East Stroudsburg, PA 18301",0.45,0
Zia,Tyson,14,3,15,88.2,"Wappingers Falls, NY 12590, 36 Lancaster Street ",0.75,0
Fitzgerald,Hammond,18,1,16,85.9,"Clarkston, MI 48348, 257 Chestnut Court ",0.8,1
Bruno,Sharpe,16,5,10,90.4,"Eau Claire, WI 54701, 7516 Logan St. ",0.5,1
Silas,Gillespie,16,1,13,85.6,"8910 School Dr. , New Milford, CT 06776",0.65,1
Xantha,Parrish,18,4,9,74.0,"9575 Sunbeam Dr. , Staten Island, NY 10301",0.45,0
Maxine,Cooley,19,3,9,77.0,"836 Hill Field Avenue , Vineland, NJ 08360",0.45,0
Levi,Maddox,19,2,8,68.1,"888 W. Helen St. , Clover, SC 29710",0.4,1
Judah,Wise,15,1,14,93.8,"483 Illinois Lane , Port Huron, MI 48060",0.7000000000000001,1
Tanya,Coleman,19,3,10,74.6,"Essex, MD 21221, 887 Rose Street ",0.5,0
Camille,Barr,14,4,14,100.0,"Sioux Falls, SD 57103, 9885 Garden Road ",0.7000000000000001,0
Sarah,Bruce,14,2,9,75.4,"Pueblo, CO 81001, 61 Liberty Lane ",0.45,0
Colton,Charles,17,5,8,80.1,"Macomb, MI 48042, 715 West Harvard Dr. ",0.4,1
Alika,Poole,19,2,16,32.0,"Klamath Falls, OR 97603, 161 S. Wrangler Ave. ",0.8,0
Ifeoma,Hendricks,17,3,13,79.0,"Midland, MI 48640, 86 Gates Dr. ",0.65,0
Hakeem,Dorsey,15,2,5,74.7,"473 Linda St. , Falls Church, VA 22041",0.25,1
Reese,Heath,18,4,8,75.3,"7496 Prairie Drive , Prior Lake, MN 55372",0.4,1
Lance,Steele,15,1,14,92.2,"Cockeysville, MD 21030, 55 Thompson Lane ",0.7000000000000001,1
Adrienne,Conrad,18,1,9,73.4,"308 W. Lakeshore Court , Sioux Falls, SD 57103",0.45,0
Aretha,Fisher,14,1,13,83.2,"Caldwell, NJ 07006, 217 Leeton Ridge St. ",0.65,0
Jeremy,Rowe,19,3,10,83.4,"755 Linda Drive , Gulfport, MS 39503",0.5,1
Ciaran,Gay,19,4,3,59.3,"Oak Lawn, IL 60453, 8600 West Gonzales Avenue ",0.15000000000000002,1
Nero,Burgess,17,1,16,87.6,"466 Bank Street , Vernon Rockville, CT 06066",0.8,1
Tyrone,Stephenson,18,5,17,91.4,"428 Wayne Drive , Villa Park, IL 60181",0.8500000000000001,1
Ashton,Mullen,16,1,16,80.1,"Warren, MI 48089, 7127 N. Redwood Street ",0.8,1
Samantha,Freeman,15,2,13,87.4,"84 Pheasant Rd. , Douglasville, GA 30134",0.65,0
Katell,Stafford,15,5,9,74.0,"Amityville, NY 11701, 762 Rose Rd. ",0.45,0
Callum,Whitley,16,5,11,80.2,"Ottumwa, IA 52501, 6 Littleton Dr. ",0.55,1
Miriam,Elliott,16,1,13,80.9,"North Bergen, NJ 07047, 7 Rockville St. ",0.65,0
David,Nichols,19,4,12,75.7,"56 53rd Ave. , Chesterfield, VA 23832",0.6000000000000001,1
Kalia,Moss,15,2,11,84.5,"Plattsburgh, NY 12901, 34 Princeton Dr. ",0.55,0
Quon,James,19,2,5,71.4,"Massillon, OH 44646, 4 East Peachtree St. ",0.25,0
Cyrus,Landry,19,4,12,80.4,"8798 East Leeton Ridge Street , Dorchester, MA 02125",0.6000000000000001,1
Keane,Copeland,16,1,6,67.5,"9973 Stonybrook Drive , Boynton Beach, FL 33435",0.30000000000000004,1
Hammett,Schroeder,19,2,12,86.2,"Kernersville, NC 27284, 738 Primrose Street ",0.6000000000000001,1
Arthur,Sims,16,2,11,80.5,"7570 Alton Road , Farmingdale, NY 11735",0.55,1
Mary,Vang,18,1,7,70.6,"Moses Lake, WA 98837, 8049 Birchpond Street ",0.35000000000000003,0
Patience,Hyde,19,2,10,87.4,"Wakefield, MA 01880, 9924 Cardinal Dr. ",0.5,0
Hadassah,Valenzuela,18,3,5,76.3,"93 George Road , Virginia Beach, VA 23451",0.25,0
Sylvester,Payne,17,5,20,100.0,"204 Longbranch Road , Geneva, IL 60134",1.0,1
Penelope,Campos,18,1,9,73.0,"125 West George Lane , Garden City, NY 11530",0.45,0
Camilla,Goff,18,4,8,70.2,"Villa Rica, GA 30180, 956 W. Buckingham Ave. ",0.4,0
Hamish,Haley,18,1,9,71.1,"8611 NE. Arrowhead Lane , Bowling Green, KY 42101",0.45,1
Wylie,Alexander,16,3,13,82.0,"25 Linda Court , Patchogue, NY 11772",0.65,1
Serena,Frazier,17,4,6,80.4,"Villa Park, IL 60181, 129 E. Alderwood Street ",0.30000000000000004,0
Tasha,Park,14,5,5,73.0,"Peoria, IL 61604, 8586 Peg Shop Rd. ",0.25,0
Gretchen,Haynes,19,4,4,77.2,"West Haven, CT 06516, 170 Woodsman Dr. ",0.2,0
Ruth,Bowman,18,3,18,100.0,"8 Grandrose Street , Gwynn Oak, MD 21207",0.9,0
Eric,Walter,18,4,15,93.2,"Grand Blanc, MI 48439, 9598 Valley Road ",0.75,1
Steven,Sherman,18,1,2,60.0,"391 Smith Ave. , Rosedale, NY 11422",0.1,1
Janna,Moran,17,5,17,100.0,"32 North Big Rock Cove Court , Toms River, NJ 08753",0.8500000000000001,0
Jonas,Bailey,16,5,14,85.6,"775 Marvon Dr. , Charlotte, NC 28205",0.7000000000000001,1
Steven,Hayes,15,4,14,88.7,"153 Windfall St. , Loganville, GA 30052",0.7000000000000001,1
Pascale,Ingram,14,4,3,76.5,"700 South Tarkiln Hill Street , Hyattsville, MD 20782",0.15000000000000002,0
Dominic,Gould,19,4,8,85.2,"166 Mulberry Road , Fort Wayne, IN 46804",0.4,1
Mason,Burke,14,4,10,84.3,"95 Fieldstone St. , Chardon, OH 44024",0.5,1
Ifeoma,Miles,16,5,10,83.3,"Langhorne, PA 19047, 24 S. Pine St. ",0.5,0
Amela,Randall,16,1,6,78.6,"Caldwell, NJ 07006, 8201 Canal Dr. ",0.30000000000000004,0
Eve,Dillon,18,4,8,71.7,"Dalton, GA 30721, 28 Coffee Lane ",0.4,0
Leilani,Marquez,16,4,12,89.9,"9687 W. Hilltop Ave. , Gwynn Oak, MD 21207",0.6000000000000001,0
Yoshio,Cruz,17,1,13,76.5,"446 West Thompson Dr. , Ankeny, IA 50023",0.65,1
Jin,Parks,17,1,8,78.4,"93 Ridgeview Lane , Feasterville Trevose, PA 19053",0.4,1
Gay,Pope,18,3,11,88.9,"9275 Market St. , Lebanon, PA 17042",0.55,0
Solomon,Myers,19,3,9,81.6,"677 Crescent Street , Saint Petersburg, FL 33702",0.45,1
Amery,Pearson,17,1,14,83.3,"761 Young Street , Cartersville, GA 30120",0.7000000000000001,1
Hyacinth,Roberson,18,4,11,81.6,"390 Sussex Dr. , Malvern, PA 19355",0.55,0
Evan,Hester,17,2,9,76.5,"9817 Buckingham Court , Hillsboro, OR 97124",0.45,1
Merritt,Dominguez,15,3,10,74.0,"8907 Hilldale Drive , Longview, TX 75604",0.5,1
Rebekah,Schmidt,18,5,12,84.1,"8677 Queen Street , East Orange, NJ 07017",0.6000000000000001,0
Jesse,Boyle,18,1,9,73.8,"9128 Joy Ridge Street , Plainfield, NJ 07060",0.45,1
Aaron,Salas,19,4,10,86.7,"8671 Argyle Drive , Holly Springs, NC 27540",0.5,1
Noble,Walsh,19,4,10,79.1,"9155 Valley Farms Road , Loganville, GA 30052",0.5,1
Beverly,Kinney,17,3,12,88.1,"285 Grant Street , San Jose, CA 95127",0.6000000000000001,0
Ferdinand,Garcia,18,2,11,89.5,"963 Wayne Drive , Dallas, GA 30132",0.55,1
Regina,Sellers,18,4,14,84.8,"7857 Prospect Ave. , Bardstown, KY 40004",0.7000000000000001,0
Quamar,Calhoun,15,2,18,97.4,"Rolla, MO 65401, 950 Anderson St. ",0.9,1
Erasmus,Huber,15,3,8,75.2,"28 County Drive , Brockton, MA 02301",0.4,1
Garth,Sims,14,1,10,76.0,"58 Argyle Street , Windsor Mill, MD 21244",0.5,1
Edward,Guthrie,16,5,7,79.5,"Winter Garden, FL 34787, 16 Brandywine Dr. ",0.35000000000000003,1
Maryam,Walter,16,2,12,79.2,"Naugatuck, CT 06770, 59 Bayberry Road ",0.6000000000000001,0
Len,Curry,14,3,15,83.3,"Opa Locka, FL 33054, 9787 Country St. ",0.75,1
Oscar,Sosa,14,3,15,88.9,"566 Rockwell Dr. , Chicago, IL 60621",0.75,1
Ferdinand,Sanchez,18,3,17,95.6,"7836 Tallwood Street , Orange, NJ 07050",0.8500000000000001,1
Aquila,Aguirre,16,1,5,71.0,"7943 Whitemarsh Street , Lombard, IL 60148",0.25,1
Lydia,Ruiz,18,1,13,87.3,"794 Mill Pond St. , Roy, UT 84067",0.65,0
Camilla,Turner,16,5,10,79.3,"9227 Swanson St. , Land O Lakes, FL 34639",0.5,0
Walter,Decker,15,4,8,84.9,"9924 Inverness St. , Independence, KY 41051",0.4,1
Dakota,Salazar,14,2,15,85.3,"Fall River, MA 02720, 9250 Canal Dr. ",0.75,0
Stuart,Rasmussen,14,3,14,97.6,"99 Shore Ave. , West Hempstead, NY 11552",0.7000000000000001,1
Timothy,Pearson,19,4,12,86.7,"Perrysburg, OH 43551, 3 Miller Street ",0.6000000000000001,1
Allistair,Davenport,14,1,18,88.0,"Windermere, FL 34786, 7173 Elm St. ",0.9,1
Wing,Holcomb,16,4,10,80.6,"Deerfield, IL 60015, 7280 Jackson Drive ",0.5,1
Casey,Ramirez,18,5,9,87.4,"9693 South Rock Creek Lane , Fairmont, WV 26554",0.45,0
Quintessa,Joyce,15,3,6,74.0,"59 River Ave. , Port Richey, FL 34668",0.30000000000000004,0
Armando,Odom,18,4,5,75.0,"Vernon Rockville, CT 06066, 9736 Baker St. ",0.25,1
Chase,Wiley,14,1,13,90.8,"81 Laurel Street , Morristown, NJ 07960",0.65,1
Malcolm,Nicholson,19,3,9,79.2,"7921 Gonzales Ave. , Henderson, KY 42420",0.45,1
Shellie,Bennett,14,4,11,87.0,"Kent, OH 44240, 847 Winchester Drive ",0.55,0
Uta,Perez,17,4,10,78.2,"Superior, WI 54880, 434 Poor House Street ",0.5,0
Lynn,Petersen,16,2,15,84.5,"9444 North Purple Finch Lane , Beaver Falls, PA 15010",0.75,0
Teegan,Merrill,17,5,11,84.0,"7864 Jockey Hollow Road , Stamford, CT 06902",0.55,0
Cade,Hogan,18,5,19,98.0,"944 Greenrose Street , Windsor Mill, MD 21244",0.9500000000000001,1
Scott,Mueller,14,4,6,73.8,"Amsterdam, NY 12010, 876 Creek Dr. ",0.30000000000000004,1
Rafael,Cherry,19,2,12,91.5,"8408 E. Philmont Lane , Beachwood, OH 44122",0.6000000000000001,1
Carol,Graves,14,4,12,79.7,"Downers Grove, IL 60515, 426 Middle River St. ",0.6000000000000001,0
Sawyer,Harding,17,5,9,71.3,"78 Roberts Street , Los Banos, CA 93635",0.45,1
Erich,Stone,14,5,17,100.0,"20 King Rd. , Chester, PA 19013",0.8500000000000001,1
Iliana,Marks,18,1,4,69.3,"Tupelo, MS 38801, 35 Carson Avenue ",0.2,0
Minerva,Skinner,14,5,7,80.2,"467 10th Street , Savage, MN 55378",0.35000000000000003,0
Anastasia,Goodwin,18,4,3,76.4,"465 Walnutwood Avenue , Fort Worth, TX 76110",0.15000000000000002,0
Nell,Fitzgerald,17,5,6,83.1,"31 Carson St. , Bergenfield, NJ 07621",0.30000000000000004,0
Rhiannon,Acevedo,15,3,10,72.7,"8034 53rd St. , Dallas, GA 30132",0.5,0
Demetria,Rush,17,3,15,98.6,"Wyandotte, MI 48192, 9777 Beach St. ",0.75,0
Dolan,Maxwell,18,5,7,82.5,"8610 E. Devonshire Court , Harrison Township, MI 48045",0.35000000000000003,1
Tanek,Gallagher,17,3,11,74.4,"403 El Dorado St. , Kingston, NY 12401",0.55,1
Cameron,Blackburn,16,1,16,87.8,"Cartersville, GA 30120, 60 SE. Campfire Street ",0.8,0
Lila,Wall,17,5,18,100.0,"754 Border Court , Boca Raton, FL 33428",0.9,0
Cleo,Workman,18,3,8,70.0,"Glen Cove, NY 11542, 381 Cedarwood St. ",0.4,0
Pandora,Lambert,16,1,11,87.3,"Brunswick, GA 31525, 56 State Dr. ",0.55,0
Quail,Lewis,15,4,8,69.1,"718 Manor Station Drive , Statesville, NC 28625",0.4,0
Abigail,Rodriguez,14,5,8,81.5,"21 Main Dr. , Easley, SC 29640",0.4,0
Kellie,Sandoval,15,2,6,71.5,"Merrick, NY 11566, 1 Buckingham Street ",0.30000000000000004,0
Dorian,Patel,16,2,7,72.5,"8180 Pilgrim Rd. , Norristown, PA 19401",0.35000000000000003,1
Lester,Page,15,1,10,82.4,"Barberton, OH 44203, 8033 S. Theatre Ave. ",0.5,1
Brody,Sharp,19,4,12,93.1,"501 Marvon Ave. , Dothan, AL 36301",0.6000000000000001,1
Alea,Harmon,14,3,12,82.2,"7359 Depot St. , Ocean Springs, MS 39564",0.6000000000000001,0
Simon,Mclaughlin,15,2,8,74.7,"Southington, CT 06489, 833 Hillside Drive ",0.4,1
Oscar,Thomas,14,3,14,90.4,"9110 S. Durham St. , Saint Albans, NY 11412",0.7000000000000001,1
Allen,York,15,3,10,80.0,"86 Penn St. , Roanoke Rapids, NC 27870",0.5,1
Octavius,Riley,15,3,16,84.4,"55 West Lafayette Ave. , New Philadelphia, OH 44663",0.8,1
Griffith,Larsen,19,4,8,84.1,"7403 Ashley Drive , Ithaca, NY 14850",0.4,1
Cullen,Britt,19,4,8,70.7,"92 Bellevue Ave. , Lincoln Park, MI 48146",0.4,1
Jerome,Cox,14,1,7,77.8,"93 Wentworth St. , Elizabeth City, NC 27909",0.35000000000000003,1
Orson,Acosta,18,4,14,94.4,"Greenfield, IN 46140, 56 San Juan St. ",0.7000000000000001,1
Adam,Franklin,15,3,9,68.3,"9676 Olive Dr. , Vicksburg, MS 39180",0.45,1
Kathleen,David,15,3,11,89.1,"9146 Sunbeam St. , Deerfield, IL 60015",0.55,0
Josephine,Rivers,18,2,17,100.0,"South El Monte, CA 91733, 7340 W. Canterbury Dr. ",0.8500000000000001,0
India,Christensen,14,1,14,89.0,"Miamisburg, OH 45342, 937 Gregory Avenue ",0.7000000000000001,0
Samuel,Cooke,17,1,15,98.2,"7572 Wild Rose Ave. , Roselle, IL 60172",0.75,1
Len,Greer,15,3,9,84.3,"7621 SE. Kent St. , El Dorado, AR 71730",0.45,1
Shad,Arnold,17,2,10,84.4,"953 Middle River St. , Sun Prairie, WI 53590",0.5,1
Kevyn,Cote,14,5,14,93.7,"Coram, NY 11727, 3 Bear Hill Ave. ",0.7000000000000001,0
Thor,Sanders,16,3,14,90.1,"Bridgeton, NJ 08302, 95 Greenrose Ave. ",0.7000000000000001,1
Clark,Cervantes,19,2,6,76.3,"York, PA 17402, 159 Philmont Drive ",0.30000000000000004,1
Yetta,Webb,19,1,11,87.5,"Eastlake, OH 44095, 69 Pineknoll Street ",0.55,0
Alexandra,Guthrie,19,4,9,72.1,"9079 Johnson Street , El Dorado, AR 71730",0.45,0
Magee,Kim,17,1,14,76.8,"8680 Carson St. , Santa Clara, CA 95050",0.7000000000000001,1
Ezra,Talley,18,1,18,88.2,"73 Cactus Dr. , Waukegan, IL 60085",0.9,1
Solomon,Perez,15,5,9,81.6,"Richmond Hill, NY 11418, 102 Sherwood Street ",0.45,1
Zenia,Craft,17,4,13,86.9,"50 Brown Avenue , Elmhurst, NY 11373",0.65,0
Cade,Maxwell,19,3,9,84.9,"Newington, CT 06111, 81 County Dr. ",0.45,1
Erica,Oconnor,17,5,11,86.4,"Shelbyville, TN 37160, 390 E. La Sierra Drive ",0.55,0
Constance,Little,17,1,6,71.8,"54 Cactus Drive , Massillon, OH 44646",0.30000000000000004,0
Jamal,Morton,16,4,19,100.0,"7978 Birchpond Street , Cambridge, MA 02138",0.9500000000000001,1
Felix,Potter,18,4,11,82.1,"9103 North St. , Chesapeake, VA 23320",0.55,1
Theodore,Estes,18,3,10,84.0,"13 Hill Avenue , West Deptford, NJ 08096",0.5,1
Forrest,Reyes,16,3,15,83.3,"841 Academy Street , Pompano Beach, FL 33060",0.75,1
